country,outcome,bidders
cf,0,1
gt,0,63
mc,0,10
mk,0,10
se,0,33
sn,0,22
sz,0,17
vn,0,63
zm,0,36
ae,1,11
au,1,16
bj,1,2
bn,1,9
cy,1,2
dj,1,4
gr,1,7
ie,1,4
mx,1,15
na,1,5
ng,1,15
rs,1,14
tj,1,1
ua,1,13
bd,0,124
br,0,65
gm,0,15
gu,0,2
jp,0,13
mv,0,3
pl,0,63
py,0,27
so,0,17
us,0,229
uy,0,4
  ,1,3
ee,1,1
eu,1,13
gq,1,1
jo,1,9
np,1,6
pt,1,3
si,1,4
tg,1,2
bf,0,9
bm,0,1
bt,0,2
bz,0,1
ch,0,21
cl,0,23
gq,0,12
ie,0,32
md,0,13
my,0,236
rs,0,34
sg,0,78
tj,0,9
tw,0,9
ua,0,60
by,1,3
mk,1,2
ph,1,16
sk,1,5
th,1,25
zm,1,9
ao,0,15
ba,0,14
bb,0,1
co,0,9
ec,0,20
et,0,89
fi,0,14
ge,0,26
jm,0,2
jo,0,42
me,0,10
rw,0,15
sb,0,3
sv,0,32
tn,0,62
uz,0,9
am,1,2
bw,1,2
cv,1,1
et,1,11
fi,1,7
fr,1,18
gu,1,1
ke,1,12
ls,1,3
no,1,16
nz,1,2
ye,1,2
ad,0,1
al,0,22
ca,0,95
il,0,29
iq,0,52
lt,0,25
lv,0,7
ma,0,80
mg,0,14
mr,0,21
mw,0,26
ng,0,171
tl,0,1
bh,1,8
bo,1,5
dz,1,11
ir,1,9
kw,1,11
lb,1,3
lt,1,6
ma,1,11
ni,1,3
om,1,10
pl,1,15
qa,1,12
sy,1,1
us,1,26
  ,0,46
az,0,66
bn,0,83
cd,0,17
dj,0,26
ee,0,7
gl,0,1
gr,0,35
is,0,1
kg,0,3
la,0,9
lb,0,20
mx,0,95
pt,0,21
sa,0,142
ug,0,23
ye,0,20
de,1,18
gm,1,1
gt,1,12
mc,1,1
ne,1,2
rw,1,3
sn,1,4
sv,1,7
sz,1,5
vn,1,12
ar,0,60
be,0,33
bh,0,38
by,0,9
cg,0,8
ci,0,7
do,0,2
dz,0,49
ga,0,13
hr,0,25
ni,0,18
nl,0,53
pa,0,19
pr,0,1
qa,0,70
ro,0,59
sl,0,14
al,1,6
be,1,7
cl,1,5
cr,1,3
es,1,10
hr,1,8
id,1,24
lk,1,16
mg,1,3
mw,1,7
sd,1,3
ae,0,129
bo,0,16
cy,0,9
dk,0,15
eu,0,74
fj,0,3
kr,0,1
kw,0,76
ml,0,32
np,0,42
pk,0,85
sr,0,2
tg,0,9
ar,1,13
bd,1,16
br,1,11
cg,1,1
eg,1,14
lu,1,2
py,1,6
so,1,2
tz,1,10
bg,0,15
bw,0,14
cn,0,53
cv,0,8
gh,0,71
gy,0,2
hk,0,26
in,0,401
it,0,66
ke,0,106
kh,0,16
mn,0,4
mu,0,25
mz,0,2
nz,0,9
ph,0,89
sk,0,29
ws,0,1
af,1,6
ba,1,2
cn,1,6
cz,1,7
gh,1,11
hk,1,6
hn,1,1
hu,1,6
jp,1,7
ly,1,3
me,1,4
mu,1,5
pe,1,6
uk,1,24
zw,1,7
bi,0,2
eg,0,71
kz,0,6
lu,0,10
mm,0,5
mt,0,7
ne,0,14
td,0,2
th,0,125
ao,1,3
az,1,9
bf,1,2
cd,1,4
ch,1,10
dk,1,6
la,1,2
lr,1,3
md,1,3
ml,1,5
my,1,26
pk,1,12
sa,1,18
sg,1,15
sl,1,5
tw,1,2
ug,1,6
af,0,26
am,0,10
at,0,25
au,0,69
bj,0,14
cm,0,19
cz,0,32
fr,0,88
hn,0,3
ht,0,3
hu,0,24
lr,0,10
ls,0,9
ly,0,11
no,0,43
pe,0,13
sc,0,8
tm,0,1
tt,0,8
tz,0,37
uk,0,123
za,0,144
zw,0,35
at,1,8
bg,1,2
cm,1,8
ec,1,3
ge,1,8
in,1,29
it,1,17
kh,1,3
mm,1,2
mz,1,1
sc,1,1
tn,1,12
tt,1,1
za,1,22
cr,0,18
de,0,89
es,0,54
id,0,266
ir,0,56
lk,0,110
na,0,21
om,0,66
ru,0,80
sd,0,47
si,0,14
sy,0,10
tr,0,174
ve,0,7
ca,1,17
ci,1,2
do,1,1
ga,1,1
il,1,5
iq,1,12
lv,1,2
mr,1,3
nl,1,9
pa,1,4
ro,1,9
ru,1,16
se,1,9
tr,1,18
