bid_merchandise,bid_country,bid_url,total_auctions,total_devices,total_countries,total_ips,total_urls,max_bids,max_auctions,max_devices,max_countries,max_ips,max_urls,bid_freq,auction_freq,device_freq,country_freq,ip_freq,url_freq,url_auction,ip_device,url_device,ip_country,url_country,max_bid_in_device,max_bid_in_country,max_bid_in_url,outcome
0.017887153,0.795193312,1,0.020853081,0,0,0,0,0.222222222,0.25,0,0,0,0,0.328979592,0.651384083,0.926530612,0.922145329,0.922145329,0.922145329,0.000317561,0.003095975,0.003874907,0,0.001104134,0.118887674,0.060579526,0.033596009,0
0.017217267,0.765412748,0.962549277,0.020853081,0,0,0,0,0.222222222,0.25,0,0,0,0,0.329795918,0.649653979,0.924897959,0.920415225,0.920415225,0.920415225,0.000317561,0.003095975,0.003874907,0,0.001104134,0.114435244,0.058310779,0.032337814,0
0.017193762,0.764367816,0.961235217,0.021800948,0,0,0,0,0.111111111,0.125,0,0,0,0,0.328979592,0.644463668,0.924081633,0.919550173,0.919550173,0.919550173,0.000317561,0.003095975,0.003874907,0,0.001104134,0.114279019,0.058231173,0.032293667,0
0.002926348,0.043014629,0.054093298,0.019905213,0.00343879,0.014705882,8.55E-05,0.000115721,0.111111111,0.125,0,0,0,0.166666667,0.475918367,0.654844291,0.780408163,0.826989619,0.826989619,0.826989619,0.001905367,0.001031992,0.001917883,0,0.001104134,0.007889392,0.00402006,0.005187294,1
0.000693392,0.015151515,0.005913272,0.007582938,0.001375516,0.007352941,4.27E-05,0.000289302,0,0,0,0,0,0,0.398367347,0.526816609,0.643265306,0.656574394,0.656574394,0.561418685,0.010320737,0.001733746,0.007788955,0,0.003404412,0.004452429,0.002268747,0.000485619,0
0.00058762,0.012800418,0.000939553,0.004739336,0.000687758,0.007352941,4.27E-05,0.001157207,0,0,0,0,0,0,0.519183673,0.675605536,0.783673469,0.770761246,0.770761246,0.567474048,0.055255637,0.003095975,0.041058358,0,0.012030456,0.002499609,0.001273683,6.62E-05,1
0.000740401,0.010621735,0.020367937,0.008530806,0.002063274,0.014705882,8.55E-05,5.79E-05,0.111111111,0.125,0,0,0,0,0.620408163,0.758650519,0.846530612,0.862456747,0.862456747,0.897058824,0.00285805,0.002063983,0.001917883,0,0.000724588,0.003827527,0.002427957,0.001368563,0
0.022494094,1,0.096130092,0.054028436,0.056396149,0,0.007993503,0.000694324,0.111111111,0.125,0.142857143,0,0.111111111,0,0.382857143,0.648788927,0.639183673,1,0.547577855,0.778546713,0.003175611,0.008338493,0.000587107,0.167713004,0.014905804,0.063427589,0.076182137,0.04127762,0
5.88E-05,0.00261233,0.000328515,0,0,0,0,0.000173581,0,0,0,0,0,0,0.791836735,0.934256055,0.937959184,0.934256055,0.934256055,0.814878893,0.063194665,0.003095975,0.01561705,0,0.004554551,0.000390564,0.000199013,2.21E-05,0
0.00200966,0.089341693,0.001399474,0.018009479,0.031636864,0,0.001196888,0.003124458,0.111111111,0.125,0.142857143,0,0.111111111,0.166666667,0.575510204,0.73615917,0.680816327,0.99567474,0.704152249,0.648788927,0.043347094,0.001527348,0.004540295,0.025112108,0.063211649,0.004686768,0.006806241,0.002317727,0
0.054108052,0.041687565,0.000367937,0.192417062,0.165749656,0.411764706,0.033641105,0.170456518,0.222222222,0.25,0.285714286,0.4,0.222222222,0.333333333,0.311836735,0.539792388,0.551836735,0.650519031,0.423010381,0.308823529,0.229120356,0.012425181,0.047633958,0.011497758,0.059416189,0.084986721,0.120601815,0.004657528,0
0.001057716,0.005423197,0.019270696,0.038862559,0.04264099,0.051470588,0.00064119,0.000115721,0,0,0,0,0,0,0.631836735,0.676470588,0.662040816,0.820069204,0.760380623,0.904844291,0.000793903,0,0.000156562,0.000896861,0.000391047,0.000234338,0.000835854,0.001478931,0
0.002174194,0.013359457,0.005775296,0.031279621,0.012379642,0.044117647,0.001410618,0.001041486,0,0,0,0,0,0,0.569795918,0.691176471,0.755918367,0.827854671,0.691176471,0.741349481,0.008574151,0.006357069,0.003874907,0.003461883,0.003070872,0.012263709,0.006209202,0.003443481,0
0.012057963,0.017978056,0.001491459,0.077725118,0.055708391,0.205882353,0.008036249,0.018110282,0.444444444,0.5,0.142857143,0.2,0.111111111,0.166666667,0.431836735,0.615051903,0.638367347,0.706747405,0.544117647,0.5,0.059701493,0.008462332,0.014951662,0.004950673,0.012410002,0.0164818,0.019383856,0.006600004,1
0.006651859,0.022267503,0.000729304,0.017061611,0.026134801,0.088235294,0.004531076,0.015506567,0.111111111,0.125,0.142857143,0.2,0.111111111,0.166666667,0.48244898,0.744809689,0.700408163,0.777681661,0.596020761,0.515570934,0.224515719,0.010278638,0.026967787,0.006484305,0.023750374,0.014450867,0.015443401,0.001942476,1
0.011693638,0.019493208,0.001392904,0.074881517,0.059834938,0.183823529,0.008335471,0.018399583,0.444444444,0.5,0.285714286,0.2,0.222222222,0.333333333,0.435918367,0.620242215,0.633469388,0.717128028,0.542387543,0.500865052,0.063035884,0.008173375,0.014168852,0.005865471,0.014066202,0.01398219,0.018587804,0.005871576,1
0.007650813,0.084639498,0.000663601,0.009478673,0.05914718,0.022058824,0.006240916,0.018688885,0.111111111,0.125,0.142857143,0,0.111111111,0.166666667,0.471020408,0.792387543,0.635918367,0.880622837,0.5683391,0.5,0.467291204,0.005944272,0.014521116,0.03206278,0.093115267,0.016091236,0.02129438,0.001854182,0
0.012257754,0.018286311,0.000335085,0.009478673,0.066024759,0.205882353,0.010088057,0.040039345,0.111111111,0.125,0.142857143,0.2,0.111111111,0.166666667,0.432653061,0.792387543,0.626938776,0.708477509,0.526816609,0.434256055,1,0.009040248,0.027907159,0.006430493,0.027442321,0.015544446,0.00987104,0.007725758,0
0.003490463,0.077324974,0.00586728,0.036966825,0.031636864,0.007352941,0.002949474,0.001677949,0.111111111,0.125,0.142857143,0,0.111111111,0,0.532244898,0.678200692,0.683265306,0.937716263,0.629757785,0.703287197,0.011590981,0.005118679,0.00246585,0.030493274,0.017206082,0.013044837,0.011781563,0.005761208,0
0.089670815,0.037816092,0.001195795,0.230331754,0.410591472,0.757352941,0.076771822,0.15657004,0.222222222,0.25,0.285714286,0.4,0.222222222,0.333333333,0.270204082,0.525086505,0.478367347,0.598615917,0.352076125,0.316608997,0.175770086,0.011393189,0.017691495,0.014600897,0.029892117,0.078503359,0.07423181,0.073990685,0
3.53E-05,0.001567398,0.001971091,0.001895735,0,0,0,0,0,0,0,0,0,0,0.606530612,0.607266436,0.719183673,0.702422145,0.702422145,0.702422145,0.004922198,0.003095975,0.003874907,0,0.001104134,0.000234338,0.000119408,6.62E-05,0
3.53E-05,0.001567398,0.001971091,0.000947867,0,0,0,0,0,0,0,0,0,0,0.428571429,0.454152249,0.54122449,0.51384083,0.51384083,0.51384083,0.007621467,0.003095975,0.003874907,0,0.001104134,0.000234338,0.000119408,6.62E-05,0
3.53E-05,0.001567398,0.00065703,0,0,0,0,5.79E-05,0,0,0,0,0,0,0.697959184,0.80017301,0.811428571,0.80017301,0.80017301,0.740484429,0.031438552,0.003095975,0.007788955,0,0.002254273,0.000234338,0.000119408,4.41E-05,0
0.001621831,0.011583072,0.001681997,0.023696682,0.013755158,0.036764706,0.001538856,0.002198692,0,0,0,0,0,0,0.595918367,0.717128028,0.750204082,0.843425606,0.686851211,0.6816609,0.023499524,0.00623323,0.007240988,0.004636771,0.007429899,0.007186377,0.002905588,0.001059532,1
1,0.705135841,0.002575558,0.568720379,1,0.455882353,1,1,1,1,1,1,1,1,0.073469388,0.447231834,0.405714286,0.641868512,0.129757785,0.156574394,0.456335345,0.065345717,0.046459744,0.332152466,0.315494675,1,1,1,0
