bidder_id,bid_merchandise,bid_country,bid_url,total_bids,total_auctions,total_merchandises,total_devices,total_countries,total_ips,total_urls,max_bids,max_auctions,max_merchandises,max_devices,max_countries,max_ips,max_urls,bid_freq,auction_freq,device_freq,country_freq,ip_freq,url_freq,url_auction,ip_merchandise,url_merchandise,ip_device,url_device,ip_country,url_country,max_bid_in_merchandise,min_bid_in_merchandise,max_bid_in_device,max_bid_in_country,max_bid_in_url,outcome
8783939eb63e5eb4e5cd412d8480f3955ipxu                           ,518,34.53,2.66,518,155,1,290,15,517,195,1,1,1,1,1,1,1,23.09,24.3,23.67,26.63,23.09,24.07,1.26,517,195,1.78,0.67,34.47,13,518,518,13,89,8,0
88bf2c0f5460e28deb5eca2ef8e5e809ol5ru                           ,19,19,19,19,1,1,2,1,19,1,1,1,1,1,1,1,1,26.35,29.29,28.6,29.29,26.35,29.29,1,19,1,9.5,0.5,19,1,19,19,16,19,19,0
213a7fb31eef8b38a23ad6b0bf2c7fd0dx3vk                           ,14,2.8,14,14,14,1,13,5,14,1,1,1,1,1,1,1,1,26.59,26.59,26.66,27.62,26.59,29.23,0.07,14,1,1.08,0.08,2.8,0.2,14,14,2,10,14,0
ecce760edfc6ec5cd5ddc7037c514dc3zod4i                           ,9,1.8,9,9,5,1,3,5,9,1,1,1,1,1,1,1,1,26.69,27.28,27.79,27.28,26.69,28.89,0.2,9,1,3,0.33,1.8,0.2,9,9,5,4,9,0
19815d9bcdc74c3ddfb9ff210c1739f3tup3i                           ,9,3,9,9,6,1,7,3,9,1,1,1,1,1,1,1,1,26.97,27.37,27.22,28.07,26.97,29.16,0.17,9,1,1.29,0.14,3,0.33,9,9,2,6,9,0
2a73f10b3b8f2b825e220ba0a1d2c49f9nikz                           ,8,2,8,8,7,1,1,4,8,1,1,1,1,1,1,1,1,27.06,27.19,29.13,27.75,27.06,29.13,0.14,8,1,8,1,2,0.25,8,8,8,5,8,0
8066d0a6ab30c52b3ddca5da19518b6188t23                           ,8,4,8,8,2,1,2,2,8,1,1,1,1,1,1,1,1,27.12,28.51,28.51,28.51,27.12,29.2,0.5,8,1,4,0.5,4,0.5,8,8,5,7,8,0
72dbc4a9f579a9444c126a0a67118783092ec                           ,8,2,8,8,6,1,7,4,8,1,1,1,1,1,1,1,1,27.1,27.38,27.23,27.79,27.1,29.17,0.17,8,1,1.14,0.14,2,0.25,8,8,2,5,8,0
87aa94042390f9267d3b7d90e42b022ek5mbu                           ,6,1.2,6,6,4,1,1,5,6,1,1,1,1,1,1,1,1,24.85,25.25,26.64,25.03,24.85,26.64,0.25,6,1,6,1,1.2,0.2,6,6,6,2,6,0
b2968116361fd43589bde8eca72c5767o71qc                           ,6,1.2,6,6,5,1,1,5,6,1,1,1,1,1,1,1,1,24.86,25.04,26.65,25.04,24.86,26.65,0.2,6,1,6,1,1.2,0.2,6,6,6,2,6,0
43553dd8b9370fbba5efa6b652d9b43ezsj11                           ,6,1.5,6,6,4,1,3,4,6,1,1,1,1,1,1,1,1,27.47,27.88,28.17,27.88,27.47,29.26,0.25,6,1,2,0.33,1.5,0.25,6,6,3,2,6,0
c41f5fb84d9f9e2456a5264c79919569vrhau                           ,6,1.5,6,6,5,1,5,4,6,1,1,1,1,1,1,1,1,27.33,27.51,27.51,27.73,27.33,29.12,0.2,6,1,1.2,0.2,1.5,0.25,6,6,2,3,6,0
3c77ec9f79f6febf630325ef84f2a0bcl3qg1                           ,18,4.5,6,18,15,1,17,4,18,3,1,1,1,1,1,1,1,26.39,26.57,26.45,27.89,26.39,28.18,0.2,18,3,1.06,0.18,4.5,0.75,18,18,2,13,11,0
9393cc68d0357d7b200a94fdf93ee3cf7xg5l                           ,11,5.5,5.5,11,10,1,9,2,11,2,1,1,1,1,1,1,1,26.78,26.87,26.98,28.48,26.78,28.48,0.2,11,2,1.22,0.22,5.5,1,11,11,3,10,7,0
5e945cce4e72950e0930b2700e77fc8eq2abo                           ,5,1.67,5,5,5,1,3,3,5,1,1,1,1,1,1,1,1,27.59,27.59,28.11,28.11,27.59,29.2,0.2,5,1,1.67,0.33,1.67,0.33,5,5,3,3,5,0
77b342f0d8769898619a935e267eaad25rubb                           ,5,1.67,5,5,5,1,4,3,5,1,1,1,1,1,1,1,1,27.53,27.53,27.76,28.04,27.53,29.14,0.2,5,1,1.25,0.25,1.67,0.33,5,5,2,2,5,0
89c8eefbf6f83543ce0792d1e4b86057ti16q                           ,5,1,5,5,5,1,5,5,5,1,1,1,1,1,1,1,1,27.64,27.64,27.64,27.64,27.64,29.25,0.2,5,1,1,0.2,1,0.2,5,5,1,1,5,0
5097b3a4011380b5d9447e1a7a20b1a556yzj                           ,4,1.33,4,4,4,1,1,3,4,1,1,1,1,1,1,1,1,25.01,25.01,26.4,25.3,25.01,26.4,0.25,4,1,4,1,1.33,0.33,4,4,4,2,4,0
75613637a85df9328b743d33b0efbf1586qow                           ,8,8,4,8,2,1,4,1,8,2,1,1,1,1,1,1,1,26.87,28.26,27.56,28.95,26.87,28.26,1,8,2,2,0.5,8,2,8,8,5,8,7,0
