"","row_id","bidder_id","bid_merchandise","bid_country","bid_url","total_auctions","total_devices","total_countries","total_ips","total_urls","max_bids","max_auctions","max_devices","max_countries","max_ips","max_urls","bid_freq","auction_freq","device_freq","country_freq","ip_freq","url_freq","url_auction","ip_device","url_device","ip_country","url_country","max_bid_in_device","max_bid_in_country","max_bid_in_url","outcome"
"1",1,"20ebb9de648c6df989f04d07cf273c7b3yu8c                           ",0.017887153,0.795193312,1,0.020853081,0,0,0,0,0.222222222,0.25,0,0,0,0,0.328979592,0.651384083,0.926530612,0.922145329,0.922145329,0.922145329,0.000317561,0.003095975,0.003874907,0,0.001104134,0.118887674,0.060579526,0.033596009,0
"2",2,"8b4071f3e2702b88481054081363bc15her3f                           ",0.017217267,0.765412748,0.962549277,0.020853081,0,0,0,0,0.222222222,0.25,0,0,0,0,0.329795918,0.649653979,0.924897959,0.920415225,0.920415225,0.920415225,0.000317561,0.003095975,0.003874907,0,0.001104134,0.114435244,0.058310779,0.032337814,0
"3",3,"4cd52ae88da3e30dbe01da5048151c98p4f0v                           ",0.017193762,0.764367816,0.961235217,0.021800948,0,0,0,0,0.111111111,0.125,0,0,0,0,0.328979592,0.644463668,0.924081633,0.919550173,0.919550173,0.919550173,0.000317561,0.003095975,0.003874907,0,0.001104134,0.114279019,0.058231173,0.032293667,0
"4",4,"c600968815fc32b20e0519ecfce5b648en2wo                           ",0.002926348,0.043014629,0.054093298,0.019905213,0.00343879,0.014705882,8.55e-05,0.000115721,0.111111111,0.125,0,0,0,0.166666667,0.475918367,0.654844291,0.780408163,0.826989619,0.826989619,0.826989619,0.001905367,0.001031992,0.001917883,0,0.001104134,0.007889392,0.00402006,0.005187294,1
"5",5,"cf22da37578048d2e51eca1e544c693cke5t3                           ",0.000693392,0.015151515,0.005913272,0.007582938,0.001375516,0.007352941,4.27e-05,0.000289302,0,0,0,0,0,0,0.398367347,0.526816609,0.643265306,0.656574394,0.656574394,0.561418685,0.010320737,0.001733746,0.007788955,0,0.003404412,0.004452429,0.002268747,0.000485619,0
"6",6,"40e00fd204d0ce97110032bfc47f423d0bgrd                           ",0.00058762,0.012800418,0.000939553,0.004739336,0.000687758,0.007352941,4.27e-05,0.001157207,0,0,0,0,0,0,0.519183673,0.675605536,0.783673469,0.770761246,0.770761246,0.567474048,0.055255637,0.003095975,0.041058358,0,0.012030456,0.002499609,0.001273683,6.62e-05,1
"7",7,"5b0665172160ea4015e79dfbcfa7ed86oe0mc                           ",0.000740401,0.010621735,0.020367937,0.008530806,0.002063274,0.014705882,8.55e-05,5.79e-05,0.111111111,0.125,0,0,0,0,0.620408163,0.758650519,0.846530612,0.862456747,0.862456747,0.897058824,0.00285805,0.002063983,0.001917883,0,0.000724588,0.003827527,0.002427957,0.001368563,0
"8",8,"d79919e5ba11f26bce5e70f0a4f859e3e4q9y                           ",0.022494094,1,0.096130092,0.054028436,0.056396149,0,0.007993503,0.000694324,0.111111111,0.125,0.142857143,0,0.111111111,0,0.382857143,0.648788927,0.639183673,1,0.547577855,0.778546713,0.003175611,0.008338493,0.000587107,0.167713004,0.014905804,0.063427589,0.076182137,0.04127762,0
"9",9,"ec6d3fbd8408ba43891370d4ffe41eabhnwbs                           ",5.88e-05,0.00261233,0.000328515,0,0,0,0,0.000173581,0,0,0,0,0,0,0.791836735,0.934256055,0.937959184,0.934256055,0.934256055,0.814878893,0.063194665,0.003095975,0.01561705,0,0.004554551,0.000390564,0.000199013,2.21e-05,0
"10",10,"8b253bd318229b3eea3f459bd81b8347khytb                           ",0.00200966,0.089341693,0.001399474,0.018009479,0.031636864,0,0.001196888,0.003124458,0.111111111,0.125,0.142857143,0,0.111111111,0.166666667,0.575510204,0.73615917,0.680816327,0.99567474,0.704152249,0.648788927,0.043347094,0.001527348,0.004540295,0.025112108,0.063211649,0.004686768,0.006806241,0.002317727,0
